country,building_total_floors,apartment_rooms,apartment_bedrooms,apartment_total_area,price_in_USD
Turkey,11,1,1,43,39299
Turkey,12,2,1,54,39549
Turkey,12,1,1,70,59990
Turkey,13,3,2,80,95000
Turkey,14,2,1,65,47621
Turkey,14,2,1,65,69000
Turkey,10,4,3,126,209777
Turkey,3,4,3,150,193473
Turkey,14,2,1,84,54278
Turkey,6,4,3,165,253254
Turkey,5,2,1,66,66303
Turkey,14,2,1,70,43982
Turkey,14,2,1,65,39799
Turkey,14,2,1,55,35566
Turkey,4,2,1,50,58694
Turkey,14,3,2,95,241298
Turkey,4,2,1,67,195647
Turkey,14,2,1,85,62622
Turkey,9,2,1,46,50531
Turkey,12,2,1,78,42922
Turkey,12,2,1,60,60868
Turkey,5,2,1,45,54730
Turkey,4,5,4,223,201082
Turkey,40,2,1,75,43548
Turkey,5,3,2,85,153872
Turkey,4,3,2,70,146735
Turkey,5,2,1,55,170648
Turkey,14,1,1,54,60990
Turkey,8,1,1,35,35218
Turkey,14,2,1,62,63042
Turkey,5,4,3,154,199995
Turkey,14,3,2,101,133692
Turkey,10,2,1,46,139000
Turkey,6,4,3,120,155431
Turkey,10,3,2,125,215212
Turkey,7,2,1,65,158692
Turkey,8,1,1,35,42390
Turkey,4,3,1,72,133758
Turkey,4,3,2,74,121736
Turkey,6,4,3,102,88041
Turkey,6,2,1,50,79346
Turkey,6,2,1,60,48549
Turkey,5,2,1,60,127171
Turkey,5,3,2,102,182925
Turkey,8,2,2,130,67237
Turkey,11,1,1,43,42040
Turkey,12,1,1,60,46722
Turkey,6,2,1,42,144787
Turkey,14,2,1,53,69566
Turkey,11,1,1,41,42390
Turkey,3,3,2,110,158692
Turkey,4,2,1,60,155431
Turkey,10,2,1,85,142388
Turkey,10,3,2,71,172958
Turkey,15,2,1,70,45000
Turkey,5,3,2,85,71737
Turkey,14,2,1,65,79346
Turkey,15,2,1,70,52190
Turkey,7,2,1,55,107606
Turkey,10,2,1,65,148909
Turkey,9,2,1,65,161952
Turkey,6,2,1,65,131518
Turkey,6,2,1,53,115129
Turkey,4,4,3,132,141301
Turkey,15,1,1,60,66989
Turkey,5,2,1,45,137496
Turkey,6,2,1,60,46194
Turkey,12,2,1,60,57304
Turkey,5,1,1,58,127675
Turkey,4,3,2,105,127743
Turkey,11,4,2,90,124997
Turkey,6,2,1,43,134395
Turkey,7,4,3,130,141301
Turkey,7,2,1,45,56520
Turkey,14,2,1,58,57414
Turkey,15,2,1,70,57607
Turkey,4,2,1,50,155431
Turkey,12,3,2,130,146735
Turkey,5,2,1,47,129123
Turkey,8,1,1,70,125063
Turkey,14,2,1,65,66558
Turkey,10,1,1,70,60990
Turkey,14,2,1,46,61459
Turkey,6,2,1,58,57607
Turkey,5,2,1,50,124997
Turkey,3,2,1,65,58887
Turkey,15,2,1,70,74995
Turkey,6,2,1,60,47018
Turkey,15,2,1,58,59781
Turkey,5,2,1,71,173909
Turkey,9,2,1,55,47046
Turkey,12,1,1,70,53991
Turkey,15,2,1,70,58135
Turkey,6,3,2,79,166799
Turkey,9,1,1,47,99983
Turkey,12,3,2,110,131492
Turkey,11,2,1,74,70650
Turkey,14,1,2,71,64989
Turkey,15,2,1,65,83693
Turkey,5,1,1,54,54494
Turkey,8,2,1,56,116173
Turkey,4,4,3,135,104889
Turkey,14,2,1,73,75289
Turkey,6,4,3,120,136953
Turkey,9,2,1,48,63411
Turkey,4,2,1,75,104345
Turkey,14,3,2,75,106519
Turkey,7,2,1,55,93385
Turkey,12,2,1,54,98367
Turkey,14,1,1,64,70988
Turkey,6,1,1,50,118563
Turkey,14,2,1,65,64672
Turkey,4,1,1,60,109982
Turkey,11,2,1,67,95650
Turkey,7,2,1,65,131518
Turkey,4,4,4,135,107529
Turkey,5,2,1,54,121615
Turkey,5,1,1,65,125876
Turkey,4,3,2,112,132605
Turkey,5,2,1,48,115758
Turkey,8,2,1,55,59448
Turkey,5,5,4,170,127171
Turkey,6,3,2,70,87498
Turkey,9,3,2,110,67390
Turkey,14,2,1,65,70000
Turkey,9,2,1,56,157605
Turkey,5,2,1,80,82063
Turkey,9,2,1,55,93367
Turkey,12,1,1,48,96499
Turkey,10,1,2,93,74988
Turkey,14,2,1,55,70650
Turkey,12,1,1,65,63989
Turkey,6,2,1,53,91557
Turkey,8,4,3,150,94563
Turkey,4,4,3,129,105976
Turkey,13,2,1,50,92389
Turkey,10,3,2,120,179343
Turkey,5,2,1,47,140540
Turkey,11,2,1,63,165163
Turkey,9,2,1,55,101628
Turkey,14,2,1,60,70650
Turkey,7,1,1,52,88181
Turkey,8,1,1,65,99598
Turkey,11,2,1,45,71737
Turkey,16,3,2,120,109380
Turkey,12,2,1,55,149996
Turkey,14,1,2,91,87985
Turkey,2,2,1,55,150892
Turkey,11,2,1,65,57853
Turkey,13,2,1,62,66952
Turkey,8,2,1,83,113041
Turkey,15,3,2,100,83137
Turkey,11,2,1,55,74283
Turkey,11,2,1,48,110000
Turkey,5,1,1,40,81520
Turkey,4,2,1,49,91000
Turkey,8,2,1,60,78259
Turkey,10,2,1,70,78238
Turkey,5,5,4,165,113041
Turkey,6,2,1,50,92389
Turkey,5,2,1,50,141301
Turkey,14,2,1,69,83693
Turkey,14,2,1,62,80000
Turkey,8,2,1,50,108068
Turkey,6,3,2,85,94563
Turkey,11,2,1,51,94126
Turkey,4,2,1,50,97611
Turkey,7,2,1,70,139127
Turkey,13,3,2,110,149996
Turkey,14,2,1,60,70650
Turkey,5,2,1,50,90013
Turkey,4,3,2,78,89672
Turkey,21,2,1,61,191299
Turkey,5,4,3,242,168474
Turkey,4,5,4,141,170648
Turkey,6,2,1,58,179330
Turkey,4,2,1,55,185865
Turkey,11,2,1,70,80383
Turkey,4,3,2,115,77715
Turkey,16,3,2,120,118604
Turkey,26,3,2,95,157795
Turkey,2,2,1,61,190836
Turkey,5,2,1,55,81492
Turkey,6,2,1,50,160328
Turkey,14,2,1,84,95350
Turkey,2,2,1,53,69988
Turkey,15,2,1,75,70650
Turkey,14,2,1,48,74397
Turkey,11,3,2,95,81423
Turkey,8,2,1,55,87955
Turkey,4,3,2,97,175000
Turkey,13,2,1,55,191299
Turkey,6,3,2,92,179343
Turkey,14,3,2,100,95000
Turkey,3,3,2,75,88585
Turkey,12,2,1,70,75000
Turkey,5,2,1,65,64129
Turkey,5,2,1,50,214125
Turkey,4,2,1,70,92389
Turkey,3,3,2,70,93476
Turkey,7,1,1,48,64989
Turkey,3,2,1,55,75542
Turkey,5,2,1,51,165101
Turkey,5,2,1,60,173909
Turkey,8,3,2,110,191299
Turkey,8,3,2,110,66989
Turkey,13,2,1,56,71225
Turkey,15,1,3,140,85986
Turkey,14,3,2,120,112281
Turkey,14,3,2,95,105432
Turkey,13,3,2,100,110000
Turkey,13,3,2,77,85867
Turkey,5,1,1,55,141828
Turkey,5,3,2,102,199995
Turkey,11,2,1,90,179343
Turkey,6,3,2,95,179343
Turkey,16,4,3,180,196734
Turkey,13,2,1,70,73000
Turkey,8,2,1,47,83913
Turkey,7,2,1,54,108180
Turkey,15,3,2,80,90000
Turkey,3,2,1,51,114236
Turkey,14,2,1,62,89128
Turkey,7,2,1,50,108068
Turkey,4,2,1,65,88585
Turkey,2,3,2,98,143475
Turkey,15,2,1,80,84780
Turkey,13,2,1,60,81520
Turkey,15,2,1,50,78209
Turkey,12,2,1,70,83693
Turkey,14,3,2,91,101817
Turkey,7,2,1,65,114127
Turkey,9,2,1,80,163039
Turkey,14,3,2,70,85867
Turkey,6,2,1,69,181855
Turkey,7,3,2,95,90759
Turkey,7,2,1,55,118870
Turkey,5,1,1,40,163039
Turkey,5,3,2,107,140214
Turkey,14,2,1,57,80000
Turkey,14,2,1,63,72985
Turkey,13,2,1,75,90215
Turkey,4,2,1,57,106519
Turkey,11,3,2,95,92389
Turkey,5,4,3,120,129344
Turkey,4,2,1,65,153759
Turkey,6,6,4,250,73735
Turkey,7,4,3,150,147822
Turkey,13,2,1,58,81520
Turkey,5,3,2,120,173909
Turkey,12,4,3,150,151083
Turkey,12,3,2,100,169826
Turkey,5,2,1,42,183691
Turkey,13,3,2,75,123042
Turkey,4,2,1,60,125540
Turkey,5,3,2,60,92389
Turkey,14,2,1,61,87652
Turkey,4,2,1,93,126084
Turkey,14,3,2,96,110495
Turkey,12,2,1,90,101817
Turkey,9,2,1,60,155431
Turkey,7,3,2,61,181846
Turkey,14,3,2,95,105432
Turkey,4,2,1,55,77715
Turkey,4,2,1,60,76085
Turkey,9,2,1,30,135866
Turkey,5,2,1,60,124342
Turkey,12,2,1,55,103258
Turkey,5,2,1,47,58457
Turkey,4,3,2,80,97280
Turkey,13,2,1,53,92389
Turkey,15,1,1,59,62990
Turkey,10,4,3,154,124997
Turkey,5,3,2,63,116301
Turkey,5,3,2,80,99997
Turkey,12,1,1,45,111954
Turkey,28,2,1,70,99454
Turkey,4,2,1,62,105432
Turkey,11,4,3,162,105976
Turkey,15,4,3,140,97824
Turkey,7,1,1,48,111976
Turkey,9,2,1,70,83693
Turkey,7,5,4,145,94563
Turkey,13,3,2,80,82542
Turkey,9,1,1,40,90985
Turkey,5,4,3,115,105976
Turkey,9,1,1,49,128979
Turkey,8,2,1,49,115063
Turkey,13,4,3,99,99997
Turkey,10,4,3,190,120649
Turkey,7,2,1,65,131518
Turkey,5,5,4,170,111954
Turkey,4,2,1,52,119562
Turkey,11,2,1,55,126084
Turkey,4,4,3,157,92389
Turkey,14,3,2,120,112933
Turkey,5,2,1,56,139000
Turkey,3,2,1,55,105550
Turkey,9,2,1,58,114127
Turkey,5,3,2,86,124479
Turkey,14,3,2,110,113041
Turkey,14,2,1,65,92389
Turkey,5,2,1,63,68365
Turkey,12,3,2,110,120649
Turkey,5,2,1,602,104345
Turkey,4,2,2,100,90000
Turkey,11,3,2,104,116528
Turkey,22,2,1,61,117388
Turkey,5,2,1,50,91153
Turkey,12,2,1,72,160000
Turkey,14,4,3,130,124081
Turkey,6,2,1,60,96737
Turkey,7,2,2,60,78087
Turkey,8,2,1,67,122548
Turkey,5,3,2,115,136953
Turkey,5,2,1,55,139537
Turkey,8,2,1,54,94563
Turkey,4,3,2,110,109780
Turkey,15,1,1,60,81350
Turkey,12,2,1,55,77172
Turkey,14,3,2,70,83693
Turkey,14,2,1,60,76005
Turkey,9,2,1,65,127171
Turkey,6,2,1,51,117904
Turkey,6,3,2,88,130000
Turkey,4,2,1,50,116301
Turkey,14,2,1,65,78548
Turkey,5,2,1,55,83693
Turkey,11,2,1,47,107606
Turkey,7,5,4,145,110867
Turkey,5,2,1,50,126084
Turkey,9,1,1,52,90589
Turkey,10,4,3,180,141301
Turkey,13,1,1,36,72607
Turkey,33,2,1,53,90759
Turkey,3,2,1,65,97824
Turkey,10,2,1,65,122823
Turkey,6,2,1,50,58151
Turkey,13,1,1,62,67989
Turkey,7,2,1,50,124185
Turkey,15,2,1,60,75000
Turkey,13,2,1,74,70000
Turkey,14,2,1,72,82607
Turkey,5,2,1,50,79346
Turkey,16,2,1,75,89492
Turkey,9,2,1,53,107695
Turkey,12,2,1,55,104203
Turkey,5,4,3,150,117388
Turkey,13,3,2,89,80436
Turkey,14,3,2,90,82330
Turkey,7,3,2,55,73911
Turkey,4,2,1,50,153257
Turkey,9,5,4,179,189126
Turkey,15,2,1,50,81520
Turkey,16,2,1,75,83644
Turkey,12,2,1,54,99997
Turkey,6,2,1,70,84127
Turkey,14,1,1,52,65989
Turkey,9,2,1,50,95650
Turkey,5,1,1,65,105198
Turkey,12,2,1,105,163039
Turkey,6,3,2,118,147822
Turkey,5,2,1,66,132767
Turkey,12,2,1,75,74000
Turkey,11,2,1,65,81675
Turkey,5,1,1,50,68234
Turkey,9,2,1,58,72657
Turkey,7,2,1,55,111304
Turkey,2,3,2,60,98910
Turkey,5,5,3,140,220000
Turkey,8,3,2,72,76085
Turkey,14,2,1,65,72716
Turkey,4,2,1,49,86814
Turkey,3,2,1,55,143729
Turkey,12,2,1,55,171735
Turkey,14,4,3,130,127171
Turkey,6,1,1,35,136402
Turkey,9,4,3,177,128258
Turkey,4,2,1,60,127171
Turkey,3,2,1,81,145648
Turkey,11,3,2,100,104475
Turkey,13,4,3,99,91000
Turkey,8,2,1,45,94885
Turkey,9,3,2,92,82000
Turkey,12,1,2,120,184850
Turkey,5,2,1,55,85523
Turkey,6,2,1,50,119562
Turkey,5,2,1,65,103258
Turkey,7,2,1,56,125540
Turkey,9,2,1,42,135757
Turkey,4,1,1,54,153813
Turkey,11,2,1,40,133692
Turkey,7,2,1,75,148647
Turkey,9,4,3,122,107062
Turkey,13,2,1,100,91985
Turkey,7,2,1,52,94059
Turkey,15,5,4,191,126084
Turkey,7,2,1,55,102029
Turkey,6,2,1,55,130975
Turkey,4,2,1,60,86954
Turkey,6,1,1,48,125124
Turkey,6,2,1,55,65216
Turkey,10,2,1,46,63873
Turkey,3,4,3,100,101084
Turkey,7,3,2,100,204343
Turkey,15,2,1,86,124997
Turkey,6,2,1,43,89310
Turkey,12,2,1,50,64129
Turkey,3,2,1,40,79889
Turkey,4,2,1,58,100000
Turkey,35,1,1,105,98000
Turkey,9,3,2,92,94563
Turkey,4,4,3,159,106519
Turkey,10,3,2,92,88956
Turkey,7,2,1,47,109211
Turkey,5,2,1,55,89547
Turkey,4,2,1,50,128500
Turkey,5,2,1,50,121210
Turkey,3,2,1,50,75542
Turkey,10,1,1,60,70488
Turkey,14,1,1,57,63989
Turkey,13,2,1,70,83693
Turkey,5,2,1,55,98910
Turkey,13,2,1,70,81520
Turkey,14,3,2,71,90027
Turkey,10,1,1,51,97594
Turkey,5,3,2,105,98910
Turkey,6,2,1,61,92561
Turkey,14,2,1,60,176305
Turkey,28,3,2,100,78000
Turkey,7,2,1,47,74000
Turkey,7,2,1,66,145648
Turkey,5,2,1,55,163307
Turkey,14,2,1,65,73138
Turkey,8,2,1,78,79346
Turkey,4,2,1,70,63042
Turkey,11,2,1,89,80300
Turkey,12,2,1,62,80433
Turkey,11,2,1,55,95650
Turkey,13,3,2,120,122823
Turkey,6,2,1,60,117388
Turkey,8,2,1,60,59781
Turkey,12,2,1,70,74000
Turkey,14,2,1,57,80000
Turkey,11,2,1,45,69563
Turkey,16,2,1,75,163039
Turkey,12,2,1,70,74455
Turkey,6,4,3,85,88229
Turkey,3,3,2,65,157605
Turkey,7,1,1,60,73988
Turkey,13,2,1,49,70650
Turkey,15,1,2,97,82986
Turkey,7,3,2,130,190212
Turkey,11,2,1,69,64129
Turkey,9,3,2,100,163039
Turkey,30,2,1,88,77200
Turkey,3,3,2,80,80702
Turkey,13,2,1,60,89128
Turkey,15,4,3,140,97824
Turkey,11,3,2,90,85000
Turkey,4,3,2,115,142494
Turkey,14,2,1,73,74854
Turkey,14,2,1,63,64559
Turkey,13,2,1,75,90215
Turkey,12,3,2,105,139127
Turkey,13,3,2,120,116301
Turkey,13,2,1,43,133149
Turkey,14,1,2,95,95984
Turkey,9,2,1,68,74998
Turkey,14,3,2,91,89211
Turkey,9,2,1,50,105432
Turkey,6,4,3,155,105976
Turkey,8,1,1,50,123889
Turkey,10,1,1,70,96027
Turkey,6,4,3,150,111954
Turkey,12,1,2,110,82986
Turkey,14,2,1,48,73911
Turkey,14,2,1,52,81520
Turkey,14,1,1,110,84986
Turkey,9,2,1,45,70650
Turkey,14,2,1,53,71737
Turkey,7,3,2,69,80433
Turkey,5,3,2,100,83150
Turkey,13,2,1,62,67390
Turkey,14,2,1,53,69330
Turkey,15,2,1,50,74998
Turkey,9,1,1,74,80987
Turkey,5,2,1,61,85344
Turkey,5,2,1,40,114127
Turkey,13,4,3,175,143475
Turkey,14,1,2,89,112981
Turkey,14,2,1,60,74747
Turkey,6,3,2,83,83693
Turkey,4,3,2,75,83693
Turkey,10,2,1,109,100541
Turkey,12,2,1,60,112804
Turkey,11,2,1,50,143475
Turkey,9,4,3,135,124997
Turkey,13,3,2,60,94563
Turkey,9,1,1,35,96737
Turkey,4,2,1,45,88585
Turkey,12,2,1,70,80382
Turkey,8,2,1,50,85324
Turkey,13,2,1,60,70650
Turkey,3,3,2,70,100679
Turkey,7,2,1,48,114007
Turkey,3,3,2,60,123910
Turkey,15,3,2,74,86954
Turkey,5,2,1,50,78887
Turkey,14,3,2,71,90215
Turkey,8,3,2,110,111954
Turkey,6,1,1,50,102495
Turkey,6,2,1,64,108584
Turkey,13,3,2,115,102171
Turkey,7,3,2,94,121736
Turkey,4,1,1,50,109982
Turkey,7,4,3,145,135866
Turkey,12,2,1,100,96360
Turkey,4,2,1,59,96989
Turkey,4,1,1,55,120008
Turkey,10,4,3,142,113041
Turkey,5,2,1,45,122823
Turkey,14,2,1,78,93233
Turkey,11,2,1,55,146735
Turkey,14,2,1,59,74998
Turkey,10,1,1,43,104983
Turkey,6,2,1,85,96193
Turkey,8,2,1,45,102274
Turkey,6,2,1,51,114789
Turkey,8,2,1,55,107313
Turkey,14,1,1,72,86986
Turkey,8,3,2,100,94563
Turkey,5,2,1,51,92389
Turkey,6,2,1,59,118475
Turkey,2,2,1,60,119562
Turkey,8,2,1,55,93662
Turkey,4,2,1,56,135866
Turkey,8,2,1,55,90215
Turkey,6,2,1,58,101375
Turkey,6,4,3,145,94563
Turkey,8,4,3,150,145648
Turkey,14,1,2,100,99983
Turkey,4,1,1,50,101274
Turkey,9,2,1,55,102715
Turkey,16,2,1,53,79346
Turkey,5,2,1,60,173211
Turkey,12,3,2,81,143475
Turkey,3,3,2,106,172822
Turkey,4,2,1,50,158692
Turkey,4,3,2,94,149022
Turkey,5,2,1,65,137496
Turkey,15,5,4,179,109780
Turkey,10,1,1,55,79759
Turkey,13,2,1,55,77172
Turkey,10,2,1,65,92389
Turkey,6,1,1,50,111688
Turkey,5,3,2,95,108675
Turkey,12,3,2,110,95000
Turkey,15,3,2,120,67933
Turkey,14,3,2,91,143313
Turkey,4,3,2,110,122823
Turkey,14,2,1,65,79346
Turkey,4,4,3,110,116301
Turkey,14,3,2,100,106519
Turkey,12,2,1,70,85867
Turkey,10,2,1,50,87498
Turkey,14,2,1,63,64129
Turkey,14,2,1,55,70650
Turkey,5,1,1,62,145647
Turkey,9,5,4,210,159778
Turkey,4,2,2,65,191739
Turkey,3,3,2,67,126084
Turkey,8,2,1,55,108979
Turkey,3,3,2,115,134779
Turkey,3,2,1,51,104480
Turkey,5,3,2,100,105976
Turkey,4,2,1,55,81520
Turkey,14,2,1,67,86954
Turkey,3,2,1,65,85324
Turkey,14,3,2,100,72671
Turkey,4,2,1,50,96193
Turkey,4,2,1,60,191299
Turkey,9,2,1,57,107997
Turkey,12,2,1,90,105432
Turkey,5,1,1,53,115832
Turkey,14,1,1,100,108982
Turkey,14,3,2,100,155431
Turkey,4,2,1,54,126084
Turkey,4,2,1,56,103258
Turkey,8,2,1,47,104345
Turkey,14,2,1,52,81520
Turkey,7,2,1,67,77172
Turkey,15,2,1,57,78259
Turkey,5,2,1,55,136885
Turkey,4,4,3,140,127171
Turkey,8,2,1,58,122568
Turkey,4,2,1,65,83693
Turkey,7,2,1,44,159000
Turkey,16,2,1,70,79346
Turkey,5,2,1,65,146735
Turkey,5,4,3,147,116981
Turkey,1,2,1,65,109780
Turkey,7,3,2,100,151083
Turkey,5,2,1,50,105976
Turkey,5,2,1,55,131518
Turkey,7,3,2,120,149996
Turkey,5,3,2,75,147822
Turkey,10,2,1,53,140214
Turkey,67,1,1,36,207169
Turkey,10,2,1,60,128258
Turkey,5,2,1,50,155431
Turkey,5,2,1,45,143475
Turkey,7,2,1,65,102715
Turkey,5,3,2,95,118475
Turkey,15,1,2,100,97984
Turkey,14,2,1,84,94563
Turkey,13,2,1,48,77172
Turkey,15,2,1,70,74998
Turkey,11,2,1,67,84780
Turkey,9,1,1,70,73737
Turkey,9,2,1,70,68000
Turkey,5,1,1,50,65393
Turkey,8,2,1,55,148366
Turkey,2,2,1,62,146735
Turkey,5,2,1,55,146360
Turkey,5,2,2,90,151369
Turkey,4,2,1,60,149996
Turkey,12,2,1,55,167387
Turkey,10,3,2,162,130431
Turkey,5,3,2,115,142520
Turkey,24,2,1,65,132000
Turkey,10,4,3,185,130431
Turkey,12,2,1,50,124997
Turkey,15,3,2,112,114466
Turkey,6,3,2,90,145648
Turkey,9,2,1,63,129344
Turkey,5,2,1,55,87542
Turkey,13,2,1,61,81520
Turkey,5,1,1,50,121061
Turkey,8,2,1,65,128258
Turkey,4,2,1,55,141301
Turkey,7,2,2,110,171444
Turkey,5,2,1,47,135000
Turkey,5,2,1,45,130431
Turkey,25,2,1,60,145648
Turkey,8,2,1,53,109831
Turkey,4,4,3,145,147822
Turkey,15,3,2,91,91302
Turkey,6,2,1,55,92272
Turkey,16,2,1,60,81520
Turkey,14,2,1,74,79349
Turkey,15,2,1,66,108693
Turkey,7,2,1,68,183000
Turkey,7,2,1,65,151083
Turkey,7,4,3,130,176082
Turkey,9,2,1,50,170907
Turkey,10,2,1,51,117306
Turkey,4,3,2,100,120649
Turkey,5,3,2,100,108675
Turkey,4,2,1,55,161409
Turkey,12,2,1,61,104345
Turkey,6,2,1,55,92389
Turkey,14,2,1,60,89128
Turkey,4,3,2,110,147822
Turkey,5,2,1,65,153039
Turkey,5,2,1,50,158675
Turkey,11,2,2,130,144546
Turkey,7,2,1,70,140214
Turkey,5,2,1,51,105515
Turkey,14,2,1,81,101298
Turkey,5,1,1,55,113819
Turkey,13,2,1,78,158692
Turkey,4,2,1,51,144626
Turkey,9,3,2,177,352766
Turkey,10,3,2,83,190000
Turkey,4,1,1,50,123850
Turkey,7,2,1,60,119562
Turkey,10,2,1,55,124997
Turkey,5,3,2,122,151475
Turkey,6,2,1,64,141301
Turkey,12,2,1,45,96600
Turkey,4,4,3,125,105976
Turkey,15,2,1,78,95106
Turkey,7,3,2,106,86954
Turkey,3,3,2,85,92389
Turkey,5,4,3,140,190212
Turkey,6,1,1,63,119049
Turkey,10,2,1,53,190212
Turkey,6,2,1,55,140214
Turkey,5,2,1,55,139127
Turkey,4,2,1,55,215212
Turkey,7,2,1,49,120060
Turkey,12,2,1,56,145105
Turkey,4,3,2,124,110000
Turkey,9,2,2,57,105705
Turkey,15,5,4,210,189126
Turkey,5,2,2,90,151369
Turkey,10,3,2,125,209234
Turkey,12,2,1,70,278797
Turkey,5,2,1,55,256515
Turkey,5,3,2,55,232059
Turkey,10,2,1,55,108693
Turkey,14,1,3,115,121980
Turkey,14,3,2,89,97530
Turkey,15,2,1,78,95106
Turkey,14,2,1,84,94563
Turkey,5,3,2,68,186189
Turkey,13,2,1,60,163039
Turkey,10,3,2,120,179343
Turkey,10,2,1,43,152411
Turkey,5,1,1,60,156230
Turkey,8,1,1,55,185585
Turkey,7,2,1,55,239124
Turkey,9,2,1,58,141301
Turkey,11,2,1,53,150000
Turkey,11,2,1,55,131518
Turkey,5,2,1,48,151602
Turkey,5,2,1,60,161952
Turkey,4,3,2,105,134779
Turkey,5,2,1,60,155431
Turkey,8,2,1,55,132605
Turkey,7,2,1,65,143475
Turkey,5,3,2,115,239124
Turkey,5,3,2,120,222820
Turkey,5,2,1,50,195647
Turkey,5,3,2,136,185183
Turkey,12,3,2,110,131518
Turkey,7,2,1,46,118463
Turkey,5,3,2,135,199995
Turkey,11,5,4,220,157155
Turkey,13,3,2,105,160865
Turkey,9,2,1,55,135866
Turkey,10,3,2,78,199995
Turkey,4,3,2,61,147822
Turkey,5,2,1,55,173365
Turkey,12,2,1,55,233678
Turkey,5,2,1,60,129344
Turkey,13,2,1,60,145307
Turkey,10,2,1,50,130431
Turkey,14,1,2,95,109982
Turkey,5,2,1,48,155934
Turkey,3,4,3,181,151083
Turkey,4,4,3,148,163039
Turkey,15,4,3,175,211951
Turkey,9,2,1,47,173909
Turkey,6,2,1,60,173909
Turkey,12,4,3,130,201082
Turkey,8,2,1,60,124997
Turkey,6,2,1,59,156518
Turkey,16,3,2,110,140214
Turkey,9,2,1,55,130431
Turkey,3,3,2,76,152170
Turkey,12,2,1,50,140472
Turkey,8,3,2,77,132605
Turkey,13,3,2,60,123910
Turkey,4,3,2,91,146967
Turkey,25,5,4,222,209777
Turkey,10,3,2,135,190212
Turkey,4,4,3,145,198908
Turkey,5,3,2,120,217386
Turkey,9,2,1,44,218329
Turkey,15,4,3,150,190212
Turkey,6,2,1,62,147008
Turkey,7,2,1,45,122330
Turkey,14,2,1,64,158557
Turkey,4,2,1,50,117000
Turkey,3,2,1,50,133692
Turkey,25,3,2,117,143475
Turkey,13,4,3,148,134779
Turkey,4,3,2,180,153257
Turkey,12,4,3,190,158692
Turkey,5,2,1,57,161952
Turkey,4,3,2,100,201082
Turkey,4,4,3,155,224994
Turkey,5,2,1,59,208366
Turkey,4,4,4,220,234124
Turkey,4,4,3,130,245646
Turkey,5,2,1,46,188663
Turkey,5,2,1,60,146735
Turkey,4,2,1,70,207369
Turkey,13,2,1,50,120649
Turkey,14,3,2,95,95000
Turkey,7,3,2,80,130431
Turkey,14,3,2,75,127171
Turkey,12,2,1,55,177597
Turkey,11,2,1,69,283688
Turkey,2,3,2,70,210864
Turkey,6,2,1,69,185865
Turkey,10,1,1,50,128736
Turkey,17,2,1,48,109780
Turkey,6,4,3,135,109780
Turkey,5,3,2,90,109455
Turkey,7,2,1,48,114369
Turkey,14,4,3,175,173909
Turkey,6,4,3,118,147822
Turkey,6,2,1,75,248907
Turkey,4,3,2,100,207603
Turkey,11,4,3,135,246733
Turkey,8,2,1,64,134170
Turkey,10,2,1,50,147822
Turkey,4,4,3,135,308688
Turkey,4,1,1,52,118896
Turkey,5,3,2,119,195000
Turkey,3,3,2,90,227168
Turkey,7,2,1,44,108326
Turkey,9,4,3,180,120649
Turkey,3,2,2,100,130000
Turkey,7,4,3,170,155431
Turkey,2,3,2,105,261713
Turkey,13,3,2,120,136953
Turkey,5,2,2,110,118768
Turkey,11,3,2,60,181517
Turkey,6,2,1,95,199995
Turkey,4,3,2,105,258520
Turkey,5,1,3,130,229064
Turkey,4,5,4,145,271732
Turkey,6,2,1,44,247048
Turkey,8,4,3,180,233690
Turkey,3,3,2,126,241298
Turkey,7,3,2,131,273906
Turkey,5,3,2,110,233356
Turkey,10,2,1,53,225966
Turkey,16,2,1,75,124997
Turkey,4,5,4,170,138040
Turkey,6,2,1,50,117388
Turkey,15,3,2,100,118475
Turkey,13,3,2,100,247820
Turkey,3,3,2,112,254963
Turkey,4,4,3,140,286949
Turkey,16,3,2,87,256515
Turkey,4,3,2,135,240000
Turkey,28,2,1,62,130431
Turkey,2,4,3,160,147822
Turkey,4,1,1,57,128566
Turkey,5,2,1,55,149453
Turkey,7,3,2,100,148909
Turkey,9,3,2,114,146735
Turkey,5,2,1,48,152170
Turkey,7,2,1,81,174717
Turkey,5,3,2,80,135866
Turkey,6,2,1,65,119562
Turkey,4,4,3,145,322818
Turkey,10,3,2,130,228255
Turkey,4,3,2,90,236950
Turkey,5,3,2,110,161952
Turkey,5,3,2,111,145000
Turkey,9,3,2,111,169561
Turkey,17,3,2,74,143475
Turkey,11,2,1,55,141301
Turkey,12,4,3,140,152170
Turkey,10,2,1,65,141301
Turkey,5,2,1,52,141301
Turkey,5,2,1,60,281514
Turkey,4,4,3,145,239124
Turkey,4,3,2,90,236950
Turkey,5,3,2,96,190212
Turkey,4,2,1,50,128258
Turkey,5,3,2,89,120649
Turkey,3,3,2,110,113041
Turkey,4,4,3,145,160865
Turkey,5,3,2,100,227522
Turkey,18,3,2,97,255428
Turkey,4,3,2,146,259776
Turkey,4,2,1,55,257059
Turkey,4,2,1,55,203256
Turkey,5,3,2,120,209777
Turkey,4,2,1,65,156518
Turkey,14,2,1,70,143475
Turkey,9,1,1,49,131978
Turkey,5,2,1,55,134779
Turkey,5,2,1,55,129344
Turkey,4,3,2,85,143000
